feature_columns,fscores
hometown_00002008,0.0
hometown_00002020,0.0
hometown_00002009,0.0
hometown_00002010,0.0
hometown_00002011,0.0
hometown_00002012,0.0
hometown_00002013,0.0
hometown_00002014,0.0
hometown_00002015,0.0
hometown_00002016,0.0
hometown_00002017,0.0
hometown_00002018,0.0
hometown_00002019,0.0
hometown_00002021,0.0
hometown_00002033,0.0
hometown_00002022,0.0
hometown_00002023,0.0
hometown_00002024,0.0
hometown_00002025,0.0
hometown_00002026,0.0
hometown_00002027,0.0
hometown_00002028,0.0
hometown_00002029,0.0
hometown_00002030,0.0
hometown_00002031,0.0
hometown_00002032,0.0
hometown_00002173,0.0
hometown_00002175,0.0
hometown_00003292,0.0
hometown_00002328,0.0
hometown_00002317,0.0
hometown_00002318,0.0
hometown_00002319,0.0
hometown_00002320,0.0
hometown_00002321,0.0
hometown_00002322,0.0
hometown_00002323,0.0
hometown_00002324,0.0
hometown_00002325,0.0
hometown_00002326,0.0
hometown_00002327,0.0
hometown_00002329,0.0
hometown_00002315,0.0
hometown_00002330,0.0
hometown_00002331,0.0
hometown_00002332,0.0
hometown_00002333,0.0
hometown_00002334,0.0
hometown_00002335,0.0
hometown_00002336,0.0
hometown_00002337,0.0
hometown_00002338,0.0
hometown_00002339,0.0
hometown_00002340,0.0
hometown_00002316,0.0
hometown_00002314,0.0
hometown_00002342,0.0
hometown_00002300,0.0
hometown_00002289,0.0
hometown_00002290,0.0
hometown_00002291,0.0
hometown_00002292,0.0
hometown_00002293,0.0
hometown_00002294,0.0
hometown_00002295,0.0
hometown_00002296,0.0
hometown_00002297,0.0
hometown_00002298,0.0
hometown_00002299,0.0
hometown_00002301,0.0
hometown_00002313,0.0
hometown_00002302,0.0
hometown_00002303,0.0
hometown_00002304,0.0
hometown_00002305,0.0
age_00000057,0.0
hometown_00002307,0.0
hometown_00002308,0.0
hometown_00002309,0.0
hometown_00002310,0.0
hometown_00002311,0.0
hometown_00002312,0.0
hometown_00002341,0.0
hometown_00002343,0.0
hometown_00002287,0.0
hometown_00002384,0.0
hometown_00002373,0.0
hometown_00002374,0.0
hometown_00002375,0.0
hometown_00002376,0.0
hometown_00002377,0.0
hometown_00002378,0.0
hometown_00002379,0.0
hometown_00002380,0.0
hometown_00002381,0.0
hometown_00002382,0.0
hometown_00002383,0.0
hometown_00002385,0.0
hometown_00002371,0.0
hometown_00002386,0.0
hometown_00002387,0.0
hometown_00002388,0.0
hometown_00002389,0.0
hometown_00002390,0.0
hometown_00002391,0.0
age_00000056,0.0
hometown_00002393,0.0
hometown_00002394,0.0
hometown_00002395,0.0
hometown_00002396,0.0
hometown_00002372,0.0
hometown_00002370,0.0
hometown_00002344,0.0
hometown_00002356,0.0
hometown_00002345,0.0
hometown_00002346,0.0
hometown_00002347,0.0
hometown_00002348,0.0
hometown_00002349,0.0
hometown_00002350,0.0
hometown_00002351,0.0
hometown_00002352,0.0
hometown_00002353,0.0
hometown_00002354,0.0
hometown_00002355,0.0
hometown_00002357,0.0
hometown_00002369,0.0
hometown_00002358,0.0
hometown_00002359,0.0
hometown_00002360,0.0
hometown_00002361,0.0
hometown_00002362,0.0
hometown_00002363,0.0
hometown_00002364,0.0
hometown_00002365,0.0
hometown_00002366,0.0
hometown_00002367,0.0
hometown_00002368,0.0
hometown_00002288,0.0
hometown_00002286,0.0
hometown_00002176,0.0
hometown_00002216,0.0
hometown_00002205,0.0
hometown_00002206,0.0
hometown_00002207,0.0
hometown_00002208,0.0
hometown_00002209,0.0
hometown_00002210,0.0
hometown_00002211,0.0
hometown_00002212,0.0
hometown_00002213,0.0
hometown_00002214,0.0
hometown_00002215,0.0
hometown_00002217,0.0
hometown_00002203,0.0
hometown_00002218,0.0
hometown_00002219,0.0
hometown_00002220,0.0
hometown_00002221,0.0
hometown_00002222,0.0
hometown_00002223,0.0
hometown_00002224,0.0
hometown_00002225,0.0
hometown_00002226,0.0
hometown_00002227,0.0
hometown_00002228,0.0
hometown_00002204,0.0
hometown_00002202,0.0
hometown_00002230,0.0
hometown_00002188,0.0
hometown_00002177,0.0
hometown_00002178,0.0
hometown_00002179,0.0
hometown_00002180,0.0
hometown_00002181,0.0
hometown_00002182,0.0
hometown_00002183,0.0
hometown_00002184,0.0
hometown_00002185,0.0
hometown_00002186,0.0
hometown_00002187,0.0
hometown_00002189,0.0
hometown_00002201,0.0
hometown_00002190,0.0
hometown_00002191,0.0
hometown_00002192,0.0
hometown_00002193,0.0
hometown_00002194,0.0
hometown_00002195,0.0
hometown_00002196,0.0
hometown_00002197,0.0
hometown_00002198,0.0
hometown_00002199,0.0
